headline,label
"Varonis Sees FY19 Adj. EPS $0.04-$0.16 vs $0.32 Estimate, Sales $297M-$305M vs $318.5M Est.",Guidance
"Best Dividend Stocks In The Market(JNJ, MMM, MCD, PG, ABT)",Dividends
Mueller Water Increases Qtr. Dividend From $0.02 To $0.03/Share,Dividends
"Allied Nevada Appoints Director, Corporate Environmental Affairs",Management changes
Oppenheimer Reiterates Outperform Rating On Chesapeake Energy,Analyst Rating
XL Insurance and Jorgensen & Company Announce Agreement,Mergers and Acquisitions
InnerWorkings Postpones Annual Shareholder Meeting As Co. In In The Process OF Restating Its Financial Statements,Regulatory
Trump Believes Russia Did Not Adhere To Open Skies Treaty,Regulatory
"DaVita Q1 Adj. EPS $1.830 Beats $1.470 Estimate, Sales $2.841B Beat $2.800B Estimate",Earnings
Here comes the RBA announcement and statement … due at 0330GMT via ForexLive,OTHER
RTI Surgical Sees FY17 Adj. EPS $0.05-$0.07 vs $0.03 Est.,Guidance
'Department of Energy Announces $40 Million in Funding for 29 Projects to Advance H2@Scale' -Energy.Gov,Regulatory
"Novartis Reports Received FDA Approval for Kisqali Femara Co-Pack for Initial Treatment of HR+/HER2- Advanced, Metastatic Breast Cancer",Product Approval
"Aurinia Pharma Reports Presentation of Added Data from Phase IIB AURA-LV Study, Showed Stable Renal Function and Blood Pressure without Electrolyte Complications Through 48 Weeks",Products-Services
Paramount Gold Nevada Prices Public Offering of 3.2M Shares At $1.40/Share,Stock price movement
"Stocks Which Set New 52-Week Low Yesterday, October 10th",Stock price movement
General Dynamics Land Systems Receives $37.2M Contract to Support Reset of U.S. Marine Corps Light Armored Vehicle Fleet,Products-Services
Dunkin Brands CEO: K-Cups Deal Won't Cannibalize Dunkin' Donuts,Products-Services
"Escalade Q3 EPS $0.18 Down From $0.25 YoY, Sales $45.8M Up From $43.955M YoY",Earnings
"UPDATE: MaxLinear Sees Q4 Sales ~$99M, Vs. Prior Outlook $95-$100M, Compared to Analyst Consensus Estimate $97M Est.",Guidance
DTE Raises FY18 Operating EPS Guidance From $5.94-$6.32 To $6.12-$6.48 vs $6.16 Estimate,Guidance
Scotiabank Initiates Coverage on Corpbanca at Outperform,Analyst Rating
"As Europe Wilts, Don't Eat These BUNS (EWU, EWN, EWP)",OTHER
Deutsche Bank May Have Hired BofA's Jeff Rose - WSJ,Management changes
"CORRECTION: Goldman Sachs Upgrades Youku Tudou Inc. to Neutral, Maintains $27.00 PT",Price Targets
"Option Alert: IGT Oct $17 Call; 6,000 Contract Trade at Ask @$1.15 vs 5,761 OI; Currently $15.85",Stock price movement
Top 4 NYSE Stocks In The Meat Products Industry With The Highest Cash,OTHER
"UDF Reports Obtains Further Stay on Nasdaq, Sets Appeal Date",Regulatory
Jefferies Says The 'Transition Continues' At Rackspace,OTHER
MDU Resources Increases Dividend From $0.1925 To $0.1975/Share,Dividends
"Wunderlich Initiates Coverage on Atwood Oceanics, Inc. at Hold, Announces $63.00 PT",Price Targets
"saving4members Forms Strategic Partnership With MSC Industrial Supply Co For Maintenance, Repair And Operation Costs",Products-Services
UPDATE: JP Morgan Downgrades United Microelectronics on Limited Risk-Reward,Analyst Rating
"Mellanox Technologies Q3 EPS $1.33 Beats $1.20 Estimate, Sales $279.211M Beat $275.56M Estimate",Earnings
Janney Capital Upgrades Highwoods Properties to Buy,Analyst Rating
Ron Perelman Praises Technology And Preaches Disruption in Unprecedented Interview,OTHER
"Stocks Plunge, But Recover Off Of Lows (SPY, QQQQ, GLD, USO, TLT, UUP)",Stock price movement
"Higher One Holdings, Inc. Reports Q1 EPS of $0.20 vs $0.24 Est",Earnings
"Taubman Centers Q4 EPS $0.91 Down From $1.03 YoY, Sales $167.49M Miss $172.4M Estimate",Earnings
"The Latest Coronavirus Developments From Biotechs: La Jolla Provides Giapreza In Italy, Enanta Researches Antivirals",Products-Services
KeyBanc Downgrades Watts Water Technologies to Sector Weight,Analyst Rating
"UPDATE: Credit Suisse Downgrades 2U To Neutral, Lowers Target From $85 To $55 On 'the uncertainty of Domestic Graduate admissions'",Price Targets
UPDATE: Halyard Health Sees Incurring $40M-$50M To Implement ITS Plan,Guidance
"Estee Lauder Reports Q4 Adj. EPS $0.43 vs $0.40 Est., Sales $2.65B vs $2.66B Est.",Earnings
"Benzinga Pro Morning  Price Check For Sector ETFs: Industrials (VIS) Up 0.6%, Financials (XLF) Up 0.6%, Tech (XLK) Up 0.6%, Energy (XLE) Up 0.5%, Staples (VDC) Up 0.3%, Retail ETF (XRT) Up 0.1%, Utilities (VPU) Down 0.1%",Stock price movement
"UPDATE: Vail Resorts Posts Wider FQ4 Loss, Revenue Beats View",Earnings
"Benzinga's Top Upgrades, Downgrades For February 22, 2017",OTHER
WD-40 Reports Q EPS of $0.47 vs. $0.53 Est; Revenues $85.5M vs. $87.55M Est		,Earnings
"Mad Money Lightning Round: Cramer Likes Buffalo Wild Wings, Alcoa (BWLD, IDCC, IBKR, AA, PNRA, CMG, HCBK, FNFG)",OTHER
"Lumos Networks Announces CFO Harold Covert Resigning for 'Family Reasons,' Johan Broekhuysen Named as Interim CFO",Management changes
Jefferies Initiates Coverage On SINA with Hold Rating,Analyst Rating
"Baird Initiates Coverage On Guidewire Software with Outperform Rating, Announces $143 Price Target",Price Targets
"KLR Group Initiates Coverage on Memorial Resource Dev at Buy, Announces $30.00 PT",Price Targets
Commodities Brings Needed Inflation Protection for Vulnerable Retirement Portfolios,OTHER
Mid-Afternoon Market Update: AMC Entertainment Drops Amid Q2 Warning; Spirit AeroSystems Shares Surge,Stock price movement
Jim Cramer Interviews CEO John Riccitiello of Electronic Arts on Mad Money,OTHER
"UBS Maintains Buy on Williams Companies, Lowers Price Target to $30",Price Targets
UPDATE: KeyBanc Downgrades Sterling Construction to Hold,Analyst Rating
"Benzinga’s Top Pre- Market Losers (LTON, OVTI, LINC, NLST, HGSI, NUVA, AFFX)",Stock price movement
CPI Aerostructures Awarded Multi-Year Contract By Lockheed Martin For F-16V Structural Assemblies,Products-Services
Boeing to Acquire Leading KLX for $4.25B; $63/Share in Cash,Mergers and Acquisitions
Avon Products Reports Q2 EPS $0.20 vs $0.21 Est; Revenues $2.59B vs $2.66B Est,Earnings
UPDATE: Jefferies Initiates Coverage on Targa Resources on Most Attractive Risk/Reward Skew,Analyst Rating
"KKR, CDPQ Buy USI in Deal Which Values Co. at $4.3B",Mergers and Acquisitions
"Medivation Reports Q2 EPS $0.58 vs. Est. $0.45, Rev. $174.8M vs. Est. $159.42M",Earnings
D.A. Davidson Previews Tyson Foods - Expected Q2 Drop YoY,Guidance
"Sypris Reports Q4 EPS $(0.23) vs. $(0.28) YoY, Sales $19.97M vs. $29.12M YoY",Earnings
"Barclays Upgrades Sysco Corporation Common Stock to Equal-Weight, Raises to $53.00",Price Targets
"Acxiom's LiveRamp Acquires Pacific Data Partners to Revolutionize B2B Marketing with People-Based Precision, Terms Not Disclosed",Mergers and Acquisitions
Buffett: Corporate Taxes Not 'Strangling' US Competitiveness -CNBC,OTHER
"The Market In 5 Minutes: Durable Goods, Benchmark Rate, Tesla's Pickup Truck And More",OTHER
